date,btc_p,ltc_p,eth_p,xrp_p,doge_p
31/08/2017,4579.75,65.8,383.5,0.255629987,0.00206352
01/09/2017,4737.27,73.3708,388.649,0.00616652,0.000229016
05/09/2017,4344.11,70.1002,307.939,0.160073996,0.00123879
06/09/2017,4464.03,74.6,322.98,0.286018997,0.00345254
08/09/2017,4660.0,81.07,337.94,0.182946995,0.00193684
11/09/2017,4287.1,67.84,301.54,0.217488006,0.00141503
13/09/2017,4171.3,66.43,294.0,0.200777993,0.00139819
14/09/2017,3882.2,61.89,276.21,0.164167002,0.000853907
15/09/2017,3254.2,45.49,223.85,0.181357995,0.000865367
18/09/2017,3719.0,51.21,259.11,0.189768001,0.000947436
19/09/2017,4091.5,56.12,297.98,0.184040993,0.000890381
20/09/2017,3911.3,53.09,282.61,0.182078004,0.000862411
21/09/2017,3863.1,51.25,282.36,0.171754003,0.000755163
22/09/2017,3623.9,46.71,258.8,0.17351,0.000772038
25/09/2017,3672.7,47.69,282.95,0.181486994,0.00114061
26/09/2017,3924.0,52.37,295.0,0.186119005,0.00115111
27/09/2017,3885.9,52.04,287.9,0.203299001,0.00117286
28/09/2017,4213.8,57.0,310.32,0.196131006,0.00107998
29/09/2017,4190.0,55.11,302.73,0.193606004,0.0010823
02/10/2017,4383.8,54.68,303.5,0.00628911,0.000207571
03/10/2017,4401.7,53.2,296.66,0.00622738,0.000203927
05/10/2017,4223.6,51.01,291.99,0.186066002,0.00123893
10/10/2017,4772.7,50.06,296.9,0.260733008,0.00103568
11/10/2017,4745.0,50.62,298.02,0.206483006,0.00116264
13/10/2017,5429.9,59.39,302.12,0.260488987,0.0010658
16/10/2017,5673.3,65.31,335.71,0.256231993,0.0011641
17/10/2017,5738.8,64.6,333.42,0.232063994,0.00106735
18/10/2017,5606.5,59.37,316.83,0.218520001,0.00104742
19/10/2017,5580.1,60.89,314.36,0.215149999,0.00106352
20/10/2017,5695.3,59.8,307.87,0.210548997,0.00105019
23/10/2017,5997.6,56.69,294.8,0.196927994,0.00101556
24/10/2017,5902.8,54.66,285.17,0.206643999,0.00109229
25/10/2017,5545.5,55.99,298.4,0.204604,0.00105571
26/10/2017,5761.0,56.39,296.87,0.203628004,0.00105139
27/10/2017,5890.6,55.56,295.56,0.202785,0.00105226
30/10/2017,6130.0,56.75,303.92,0.202711001,0.00115074
31/10/2017,6124.5,56.29,306.2,0.200558007,0.00112424
01/11/2017,6430.5,55.47,304.12,0.00641105,0.000205298
07/11/2017,6970.3,54.64,298.5,0.185019001,0.00177886
