,Date,xrp_p
653,15/10/2017 23:59,0.263983011
654,16/10/2017 23:59,0.256231993
655,17/10/2017 23:59,0.232063994
656,18/10/2017 23:59,0.218520001
657,19/10/2017 23:59,0.215149999
658,20/10/2017 23:59,0.210548997
659,21/10/2017 23:59,0.211015999
660,22/10/2017 23:59,0.204177007
661,23/10/2017 23:59,0.196927994
662,24/10/2017 23:59,0.206643999
663,25/10/2017 23:59,0.204604
664,26/10/2017 23:59,0.203628004
665,27/10/2017 23:59,0.202785
666,28/10/2017 23:59,0.201835006
667,29/10/2017 23:59,0.202785
668,30/10/2017 23:59,0.202711001
669,31/10/2017 23:59,0.200558007
670,01/11/2017 23:59,0.194123998
671,02/11/2017 23:59,0.205861002
672,03/11/2017 23:59,0.208132997
673,04/11/2017 23:59,0.203749999
674,05/11/2017 23:59,0.202055007
675,06/11/2017 23:59,0.205990002
676,07/11/2017 23:59,0.210354
677,08/11/2017 23:59,0.217436999
678,09/11/2017 23:59,0.217488006
679,10/11/2017 23:59,0.206483006
680,11/11/2017 23:59,0.210429996
681,12/11/2017 23:59,0.197338998
682,13/11/2017 23:59,0.203442007
683,14/11/2017 23:59,0.209824994
684,15/11/2017 23:59,0.212955996
685,16/11/2017 23:59,0.227107003
686,17/11/2017 23:59,0.226581007
687,18/11/2017 23:59,0.228626996
688,19/11/2017 23:59,0.231015995
689,20/11/2017 23:59,0.238758996
690,21/11/2017 23:59,0.233271003
691,22/11/2017 23:59,0.238858998
692,23/11/2017 23:59,0.242402002
693,24/11/2017 23:59,0.244642004
694,25/11/2017 23:59,0.252393007
695,26/11/2017 23:59,0.248817995
696,27/11/2017 23:59,0.253926992
697,28/11/2017 23:59,0.299151987
698,29/11/2017 23:59,0.243064001
699,30/11/2017 23:59,0.250878006
700,01/12/2017 23:59,0.255699009
701,02/12/2017 23:59,0.255492002
702,03/12/2017 23:59,0.252557993
703,04/12/2017 23:59,0.253571004
704,05/12/2017 23:59,0.246101007
705,06/12/2017 23:59,0.232544005
706,07/12/2017 23:59,0.222822994
707,08/12/2017 23:59,0.252124995
708,09/12/2017 23:59,0.244708002
709,10/12/2017 23:59,0.237333
710,11/12/2017 23:59,0.251691014
711,12/12/2017 23:59,0.373540998
712,13/12/2017 23:59,0.471062988
713,14/12/2017 23:59,0.864262998
714,15/12/2017 23:59,0.756181002
